Obs,end_station_name,end_station_latitude,end_station_longitude,trip,tripmin,tripcost
1,175 N Harvard St,42.363796,-71.129164,"1,751","32,449.68","$8,112.42 "
2,18 Dorrance Warehouse,42.387151,-71.075978,132,"539,323.07","$134,830.77 "
3,191 Beacon St,42.38032335,-71.10878613,674,"10,604.62","$2,651.15 "
4,30 Dane St,42.38100143,-71.10402523,"1,307","21,189.13","$5,297.28 "
5,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,"1,573","20,239.78","$5,059.95 "
6,699 Mt Auburn St,42.37500235,-71.14871614,601,"15,004.30","$3,751.07 "
7,700 Huron Ave,42.38078817,-71.15412891,273,"7,286.08","$1,821.52 "
8,75 Binney St,42.36550729,-71.0801376,"1,040","13,599.32","$3,399.83 "
9,84 Cambridgepark Dr,42.3936,-71.143941,224,"5,307.08","$1,326.77 "
10,Adams St at Lonsdale St,42.29167943,-71.05726346,63,"18,779.38","$4,694.85 "
11,Airport T Stop - Bremen St at Brooks St,42.37533523,-71.03131585,236,"10,238.73","$2,559.68 "
12,Albany St at E. Brookline St,42.33664795,-71.0689446,602,"8,444.92","$2,111.23 "
13,Alewife MBTA at Steel Place,42.39558846,-71.14260614,580,"20,056.58","$5,014.15 "
14,Alewife Station at Russell Field,42.396105,-71.139459,514,"19,958.65","$4,989.66 "
15,Allston Green District - Griggs St at Commonwealth Ave,42.34922469,-71.13275303,977,"16,288.52","$4,072.13 "
16,Ames St at Broadway,42.3636929,-71.0875672,"1,629","23,689.20","$5,922.30 "
17,Ames St at Main St,42.3625,-71.08822,"8,156","99,243.87","$24,810.97 "
18,Andrew T Stop - Dorchester Ave at Dexter St,42.33047365,-71.05701685,597,"16,028.88","$4,007.22 "
19,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,"2,346","49,737.23","$12,434.31 "
20,Arch St at Franklin St,42.35533502,-71.05822917,"2,044","88,040.98","$22,010.25 "
21,Archdale Rd at Washington St,42.29266593,-71.12119539,152,"4,618.37","$1,154.59 "
22,Ashmont T Stop,42.2856944,-71.0641389,131,"32,849.77","$8,212.44 "
23,Assembly Square T,42.39223284,-71.07746601,613,"15,616.43","$3,904.11 "
24,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,"2,968","44,609.62","$11,152.40 "
25,BCBS Hingham,42.16722556,-70.90555783,26,354.52,$88.63 
26,BCBS Quincy,42.27600499,-71.03924982,3,65.93,$16.48 
27,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,"2,761","45,557.15","$11,389.29 "
28,Ball Sq,42.39915589,-71.11102574,332,"7,088.38","$1,772.10 "
29,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,480,"6,911.23","$1,727.81 "
30,Beacon St at Charles St,42.356052,-71.069849,"1,583","41,419.42","$10,354.85 "
31,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,"4,187","64,240.55","$16,060.14 "
32,Beacon St at Tappan St,42.3382668,-71.13894682,402,"25,974.23","$6,493.56 "
33,Beacon St at Washington / Kirkland,42.37842,-71.105668,"1,241","30,426.00","$7,606.50 "
34,Belgrade Ave at Walworth St,42.2863459,-71.1367213,46,"1,248.85",$312.21 
35,Bennington St at Byron St,42.38353252,-71.01619095,56,"2,282.85",$570.71 
36,Bennington St at Constitution Beach,42.38522394,-71.01063069,85,"2,482.95",$620.74 
37,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,672,"13,234.72","$3,308.68 "
38,Big Papi Station,42.34734473,-71.10016808,751,"14,522.87","$3,630.72 "
39,Binney St / Sixth St,42.36608797,-71.08633604,"1,003","12,766.75","$3,191.69 "
40,Blossom St at Charles St,42.36435589,-71.06959369,"1,107","25,586.27","$6,396.57 "
41,Blue Hill Ave at Almont St,42.27462067,-71.09372552,24,"9,512.37","$2,378.09 "
